"grids","species"
"Syr.Darya","Hemiculter leucisculus"
"Mar.Chiquita","Hemisorubim platyrhynchos"
"Tchad","Hippopotamyrus pictus"
"Mar.Chiquita","Hoplias malabaricus"
"Mojave","Hypomesus nipponensis"
"Amu.Darya","Hypophthalmichthys molitrix"
"Dead.Sea","Hypophthalmichthys molitrix"
"Syr.Darya","Hypophthalmichthys molitrix"
"Valle.de.Mexico","Hypophthalmichthys molitrix"
"Dead.Sea","Hypophthalmichthys nobilis"
"Shule","Hypophthalmichthys nobilis"
"Laguna.Las.Tunas.Grandes","Hypostomus commersoni"
"Whitewater","Hypsopsetta guttulata"
"Antelope.Wash","Ictalurus punctatus"
"Bear.river","Ictalurus punctatus"
"Del.Carmen","Ictalurus punctatus"
"Humboldt","Ictalurus punctatus"
"Mojave","Ictalurus punctatus"
"Nazas","Ictalurus punctatus"
"Owens","Ictalurus punctatus"
"Qinghai","Ictalurus punctatus"
"Ruoshui","Ictalurus punctatus"
"Shiyang","Ictalurus punctatus"
"Shule","Ictalurus punctatus"
"Truckee","Ictalurus punctatus"
"Valle.de.Mexico","Ictalurus punctatus"
"Whitewater","Ictalurus punctatus"
"Shule","Ictiobus cyprinellus"
"Carlos.Tejedor","Jenynsia lineata"
"Laguna.Las.Tunas.Grandes","Jenynsia lineata"
"Mar.Chiquita","Jenynsia lineata"
"Quinto","Jenynsia lineata"
"Salina.del.Bebedero","Jenynsia lineata"
"Salina.Grandes","Jenynsia lineata"
"Chocancharava","Jenynsia multidentata"
"Laguna.del.Monte","Jenynsia multidentata"
"Mar.Chiquita","Jenynsia multidentata"
"Salina.Grandes","Jenynsia multidentata"
"Beysehir","Knipowitschia caucasica"
"Billeroo.creek","Kyphosus cinerascens"
"Tanganyika","Labeo weeksii"
"Edward","Labeobarbus altianalis"
"George.lake","Labeobarbus altianalis"
"Kivu","Labeobarbus altianalis"
"Kyoga","Labeobarbus altianalis"
"Lake.Albert","Labeobarbus altianalis"
"Tanganyika","Labeobarbus altianalis"
"Victoria.lake","Labeobarbus altianalis"
"Tana.lake","Labeobarbus gananensis"
"Turkana","Labeobarbus gananensis"
"Uaso.Nyiro.River","Labeobarbus gananensis"
"Abhe.Bad","Labeobarbus intermedius"
"Awasa.Hayk","Labeobarbus intermedius"
"Baringo","Labeobarbus intermedius"
"Daui","Labeobarbus intermedius"
"Kivu","Labeobarbus intermedius"
"Tana.lake","Labeobarbus intermedius"
"Turkana","Labeobarbus intermedius"
"Ziway.Hayk","Labeobarbus intermedius"
"Qinghai","Labidesthes sicculus"
"Edward","Laciris pelagicus"
"George.lake","Laciris pelagicus"
"Lake.Eyre.Basin","Lactoria cornuta"
"Edward","Lacustricola vitschumbaensis"
"George.lake","Lacustricola vitschumbaensis"
"Victoria.lake","Lacustricola vitschumbaensis"
"Attack.creek","Leiopotherapon unicolor"
"Billeroo.creek","Leiopotherapon unicolor"
"Bulloo","Leiopotherapon unicolor"
"Gosse","Leiopotherapon unicolor"
"Hay.2","Leiopotherapon unicolor"
"Lake.Buchanan","Leiopotherapon unicolor"
"Lake.Eyre","Leiopotherapon unicolor"
"Lake.Eyre.Basin","Leiopotherapon unicolor"
"Lake.Lewis","Leiopotherapon unicolor"
"Lake.Machattie","Leiopotherapon unicolor"
"Lake.Torrens","Leiopotherapon unicolor"
"Newcastle.Waters","Leiopotherapon unicolor"
"Playford","Leiopotherapon unicolor"
"Sandy.creek.1","Leiopotherapon unicolor"
"Tarrabool.lake","Leiopotherapon unicolor"
"Walkabout.creek","Leiopotherapon unicolor"
"Watchie.Swamp","Leiopotherapon unicolor"
"Nazas","Lepomis auritus"
"Aguanaval","Lepomis cyanellus"
"Antelope.Wash","Lepomis cyanellus"
"Bear.river","Lepomis cyanellus"
"Casas.Grandes","Lepomis cyanellus"
"Death.Valley","Lepomis cyanellus"
"Del.Carmen","Lepomis cyanellus"
"Humboldt","Lepomis cyanellus"
"Malheur.lake","Lepomis cyanellus"
"Mojave","Lepomis cyanellus"
"Owens","Lepomis cyanellus"
"Qaidam","Lepomis cyanellus"
"Qinghai","Lepomis cyanellus"
"Ruoshui","Lepomis cyanellus"
"Shiyang","Lepomis cyanellus"
"Shule","Lepomis cyanellus"
"Sulphur.Springs.valley","Lepomis cyanellus"
"Truckee","Lepomis cyanellus"
"Whitewater","Lepomis cyanellus"
"Humboldt","Lepomis gibbosus"
"Malheur.lake","Lepomis gibbosus"
"Prespa","Lepomis gibbosus"
"Rheris","Lepomis gibbosus"
