"s" "f" "o" "insertions"
"467" "Aequidens_paloemeuensis" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"468" "Aequidens_patricki" "Cichlidae" "Cichliformes" "Present_in_Tree"
"469" "Aequidens_plagiozonatus" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"470" "Aequidens_potaroensis" "Cichlidae" "Cichliformes" "Present_in_Tree"
"471" "Aequidens_rondoni" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"472" "Aequidens_tetramerus" "Cichlidae" "Cichliformes" "Present_in_Tree"
"473" "Aequidens_tubicen" "Cichlidae" "Cichliformes" "Present_in_Tree"
"474" "Aequidens_viridis" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"492" "Afronandus_sheljuzhkoi" "Nandidae" "Perciformes" "Family_insertion"
"493" "Afronemacheilus_abyssinicus" "Nemacheilidae" "Cypriniformes" "Family_insertion"
"494" "Afronemacheilus_kaffa" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"495" "Afurcagobius_suppositus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"496" "Afurcagobius_tamarensis" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"497" "Agamyxis_albomaculatus" "Doradidae" "Siluriformes" "Present_in_Tree"
"498" "Agamyxis_pectinifrons" "Doradidae" "Siluriformes" "Present_in_Tree"
"499" "Ageneiosus_inermis" "Auchenipteridae" "Siluriformes" "Present_in_Tree"
"500" "Ageneiosus_magoi" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"501" "Ageneiosus_marmoratus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"502" "Ageneiosus_militaris" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"503" "Ageneiosus_pardalis" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"504" "Ageneiosus_polystictus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"505" "Ageneiosus_ucayalensis" "Auchenipteridae" "Siluriformes" "Present_in_Tree"
"506" "Ageneiosus_uranophthalmus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"507" "Ageneiosus_vittatus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"508" "Agoniates_anchovia" "Triportheidae" "Characiformes" "Present_in_Tree"
"509" "Agoniates_halecinus" "Triportheidae" "Characiformes" "Present_in_Tree"
"517" "Agonostomus_catalai" "Mugilidae" "Mugiliformes" "Present_in_Tree"
"519" "Agonostomus_telfairii" "Mugilidae" "Mugiliformes" "Present_in_Tree"
"521" "Agosia_chrysogaster" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"523" "Aguarunichthys_inpai" "Pimelodidae" "Siluriformes" "Family_insertion"
"524" "Aguarunichthys_tocantinsensis" "Pimelodidae" "Siluriformes" "Congeneric_Family_level"
"525" "Aguarunichthys_torosus" "Pimelodidae" "Siluriformes" "Congeneric_Family_level"
"532" "Ailia_coila" "Ailiidae" "Siluriformes" "Present_in_Tree"
"533" "Ailiichthys_punctata" "Schilbeidae" "Siluriformes" "Family_insertion"
"539" "Akawaio_penak" "Hypopomidae" "Gymnotiformes" "Family_insertion"
"540" "Akihito_futuna" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"541" "Akihito_vanuatu" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"545" "Akrokolioplax_bicornis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"546" "Akysis_bilustris" "Akysidae" "Siluriformes" "Congeneric_insertion"
"547" "Akysis_brachybarbatus" "Akysidae" "Siluriformes" "Present_in_Tree"
"548" "Akysis_clavulus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"549" "Akysis_clinatus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"550" "Akysis_ephippifer" "Akysidae" "Siluriformes" "Congeneric_insertion"
"551" "Akysis_fontaneus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"552" "Akysis_fuliginatus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"553" "Akysis_galeatus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"554" "Akysis_hendricksoni" "Akysidae" "Siluriformes" "Congeneric_insertion"
"555" "Akysis_heterurus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"556" "Akysis_longifilis" "Akysidae" "Siluriformes" "Present_in_Tree"
"557" "Akysis_maculipinnis" "Akysidae" "Siluriformes" "Congeneric_insertion"
"558" "Akysis_manipurensis" "Akysidae" "Siluriformes" "Congeneric_insertion"
"559" "Akysis_microps" "Akysidae" "Siluriformes" "Congeneric_insertion"
