"s" "f" "o"
"337" "Achiropsetta_tricholepis" "Achiropsettidae" "Pleuronectiformes"
"338" "Achirus_achirus" "Achiridae" "Pleuronectiformes"
"339" "Achirus_declivis" "Achiridae" "Pleuronectiformes"
"340" "Achirus_klunzingeri" "Achiridae" "Pleuronectiformes"
"341" "Achirus_lineatus" "Achiridae" "Pleuronectiformes"
"342" "Achirus_mazatlanus" "Achiridae" "Pleuronectiformes"
"343" "Achirus_mucuri" "Achiridae" "Pleuronectiformes"
"344" "Achirus_novoae" "Achiridae" "Pleuronectiformes"
"345" "Achirus_scutum" "Achiridae" "Pleuronectiformes"
"346" "Achirus_zebrinus" "Achiridae" "Pleuronectiformes"
"347" "Achoerodus_gouldii" "Labridae" "Labriformes"
"348" "Achoerodus_viridis" "Labridae" "Labriformes"
"349" "Achondrostoma_arcasii" "Cyprinidae" "Cypriniformes"
"350" "Achondrostoma_occidentale" "Cyprinidae" "Cypriniformes"
"351" "Achondrostoma_oligolepis" "Cyprinidae" "Cypriniformes"
"352" "Achondrostoma_salmantinum" "Cyprinidae" "Cypriniformes"
"353" "Acinocheirodon_melanogramma" "Characidae" "Characiformes"
"354" "Acipenser_baerii" "Acipenseridae" "Acipenseriformes"
"355" "Acipenser_brevirostrum" "Acipenseridae" "Acipenseriformes"
"356" "Acipenser_dabryanus" "Acipenseridae" "Acipenseriformes"
"357" "Acipenser_fulvescens" "Acipenseridae" "Acipenseriformes"
"358" "Acipenser_gueldenstaedtii" "Acipenseridae" "Acipenseriformes"
"359" "Acipenser_medirostris" "Acipenseridae" "Acipenseriformes"
"360" "Acipenser_mikadoi" "Acipenseridae" "Acipenseriformes"
"361" "Acipenser_naccarii" "Acipenseridae" "Acipenseriformes"
"362" "Acipenser_nudiventris" "Acipenseridae" "Acipenseriformes"
"363" "Acipenser_oxyrinchus" "Acipenseridae" "Acipenseriformes"
"364" "Acipenser_persicus" "Acipenseridae" "Acipenseriformes"
"365" "Acipenser_ruthenus" "Acipenseridae" "Acipenseriformes"
"366" "Acipenser_schrenckii" "Acipenseridae" "Acipenseriformes"
"367" "Acipenser_sinensis" "Acipenseridae" "Acipenseriformes"
"368" "Acipenser_stellatus" "Acipenseridae" "Acipenseriformes"
"369" "Acipenser_sturio" "Acipenseridae" "Acipenseriformes"
"370" "Acipenser_transmontanus" "Acipenseridae" "Acipenseriformes"
